"region","instanceType","price"
"us-east","m3.xlarge","0.070"
"us-east","m3.2xlarge","0.140"
"us-east","m1.small","0.011"
"us-east","m1.medium","0.022"
"us-east","m1.large","0.044"
"us-east","m1.xlarge","0.088"
"us-east","c3.xlarge","0.053"
"us-east","c3.2xlarge","0.105"
"us-east","c3.4xlarge","0.210"
"us-east","c3.8xlarge","0.270"
"us-east","c1.medium","0.030"
"us-east","c1.xlarge","0.120"
"us-east","cc2.8xlarge","0.270"
"us-east","g2.2xlarge","0.200"
"us-east","cg1.4xlarge","0.270"
"us-east","r3.xlarge","0.090"
"us-east","r3.2xlarge","0.180"
"us-east","r3.4xlarge","0.270"
"us-east","r3.8xlarge","0.270"
"us-east","m2.xlarge","0.062"
"us-east","m2.2xlarge","0.123"
"us-east","m2.4xlarge","0.246"
"us-east","cr1.8xlarge","0.270"
"us-east","i2.xlarge","0.213"
"us-east","i2.2xlarge","0.270"
"us-east","i2.4xlarge","0.270"
"us-east","i2.8xlarge","0.270"
"us-east","d2.xlarge","0.173"
"us-east","d2.2xlarge","0.270"
"us-east","d2.4xlarge","0.270"
"us-east","d2.8xlarge","0.270"
"us-east","hi1.4xlarge","0.270"
"us-east","hs1.8xlarge","0.270"
"us-west-2","m3.xlarge","0.070"
"us-west-2","m3.2xlarge","0.140"
"us-west-2","m1.small","0.011"
"us-west-2","m1.medium","0.022"
"us-west-2","m1.large","0.044"
"us-west-2","m1.xlarge","0.088"
"us-west-2","c3.xlarge","0.053"
"us-west-2","c3.2xlarge","0.105"
"us-west-2","c3.4xlarge","0.210"
"us-west-2","c3.8xlarge","0.270"
"us-west-2","c1.medium","0.030"
"us-west-2","c1.xlarge","0.120"
"us-west-2","cc2.8xlarge","0.270"
"us-west-2","g2.2xlarge","0.200"
"us-west-2","r3.xlarge","0.090"
"us-west-2","r3.2xlarge","0.180"
"us-west-2","r3.4xlarge","0.270"
"us-west-2","r3.8xlarge","0.270"
"us-west-2","m2.xlarge","0.062"
"us-west-2","m2.2xlarge","0.123"
"us-west-2","m2.4xlarge","0.246"
"us-west-2","cr1.8xlarge","0.270"
"us-west-2","i2.xlarge","0.213"
"us-west-2","i2.2xlarge","0.270"
"us-west-2","i2.4xlarge","0.270"
"us-west-2","i2.8xlarge","0.270"
"us-west-2","d2.xlarge","0.173"
"us-west-2","d2.2xlarge","0.270"
"us-west-2","d2.4xlarge","0.270"
"us-west-2","d2.8xlarge","0.270"
"us-west-2","hi1.4xlarge","0.270"
"us-west-2","hs1.8xlarge","0.270"
"us-west","m3.xlarge","0.070"
"us-west","m3.2xlarge","0.140"
"us-west","m1.small","0.011"
"us-west","m1.medium","0.022"
"us-west","m1.large","0.044"
"us-west","m1.xlarge","0.088"
"us-west","c3.xlarge","0.053"
"us-west","c3.2xlarge","0.105"
"us-west","c3.4xlarge","0.210"
"us-west","c3.8xlarge","0.270"
"us-west","c1.medium","0.030"
